year,expense_pct_gdp,debt_pct_gdp
1972,24.95,
1973,15.92,
1974,21.93,
1975,22.51,
1976,22.93,
1977,21.82,
1978,21.47,
1979,18.14,
1980,20.18,
1981,23.77,
1982,27.79,
1983,24.64,
1984,24.50,
1985,23.87,
1986,24.13,
1987,23.14,
1988,22.44,
1989,22.87,
1990,21.91,31.60
1991,23.36,24.59
1992,25.03,23.60
1993,28.89,21.88
1994,30.17,24.53
1995,27.10,
1996,27.81,
1997,26.32,
1998,26.08,
1999,26.44,
2000,26.55,
2001,27.27,40.64
2002,27.89,95.27
2003,27.91,105.60
2004,26.59,85.43
2005,26.56,76.11
2006,26.64,68.46
2007,26.06,57.56
2008,24.98,55.87
2009,28.20,47.70
2010,28.25,42.47
2011,27.74,43.21
2012,28.84,41.03
2013,29.27,40.09
2014,29.58,41.29
2015,29.58,47.28
2016,35.22,46.46
2017,31.25,45.07
2018,31.91,47.34
2019,32.07,50.13
2020,34.69,60.40
2021,31.73,58.11
2022,36.29,54.24
2023,37.02,62.37
